gamertag,message,sent_time
xWeepingAngelsx,"Hey I saw you in the tower and thought I would invite you to join our Discord group. We help people with raids and trials and everything else, and we are 100+ members strong. Did you want to join?",1588945944.9936845
zebcreed,"Hey I saw you in the tower and thought I would invite you to join our Discord group. We help people with raids and trials and everything else, and we are 100+ members strong. Did you want to join?",1588945944.9936845
J Boogs 326,"Hey I saw you in the tower and thought I would invite you to join our Discord group. We help people with raids and trials and everything else, and we are 100+ members strong. Did you want to join?",1588945944.9936845
Vorxn,"Hey I saw you in the tower and thought I would invite you to join our Discord group. We help people with raids and trials and everything else, and we are 100+ members strong. Did you want to join?",1588945944.9936845
HeatherM5514,"Hey I saw you in the tower and thought I would invite you to join our Discord group. We help people with raids and trials and everything else, and we are 100+ members strong. Did you want to join?",1588945944.9936845
Awesome Sloth,"Hey I saw you in the tower and thought I would invite you to join our Discord group. We help people with raids and trials and everything else, and we are 100+ members strong. Did you want to join?",1588945944.9936845
toks417,"Hey I saw you in the tower and thought I would invite you to join our Discord group. We help people with raids and trials and everything else, and we are 100+ members strong. Did you want to join?",1588945944.9936845
TheSanguineFoxx,"Hey I saw you in the tower and thought I would invite you to join our Discord group. We help people with raids and trials and everything else, and we are 100+ members strong. Did you want to join?",1588945944.9936845
A1 Luffy,"Hey I saw you in the tower and thought I would invite you to join our Discord group. We help people with raids and trials and everything else, and we are 100+ members strong. Did you want to join?",1588945944.9936845
dimond tamer,"Hey I saw you in the tower and thought I would invite you to join our Discord group. We help people with raids and trials and everything else, and we are 100+ members strong. Did you want to join?",1588945944.9936845
N0VA A5SASS1N,"Hey I saw you in the tower and thought I would invite you to join our Discord group. We help people with raids and trials and everything else, and we are 100+ members strong. Did you want to join?",1588945944.9936845
tummyrolls22,"Hey I saw you in the tower and thought I would invite you to join our Discord group. We help people with raids and trials and everything else, and we are 100+ members strong. Did you want to join?",1588945944.9936845
I3akedI3eans,"Hey I saw you in the tower and thought I would invite you to join our Discord group. We help people with raids and trials and everything else, and we are 100+ members strong. Did you want to join?",1588945944.9936845
NoiseStream,"Hey I saw you in the tower and thought I would invite you to join our Discord group. We help people with raids and trials and everything else, and we are 100+ members strong. Did you want to join?",1588945944.9936845
EnslavedChris,"Hey I saw you in the tower and thought I would invite you to join our Discord group. We help people with raids and trials and everything else, and we are 100+ members strong. Did you want to join?",1588945944.9936845
KFetch,"Hey I saw you in the tower and thought I would invite you to join our Discord group. We help people with raids and trials and everything else, and we are 100+ members strong. Did you want to join?",1588945944.9936845
blazedragon01,"Hey I saw you in the tower and thought I would invite you to join our Discord group. We help people with raids and trials and everything else, and we are 100+ members strong. Did you want to join?",1588945944.9936845
BadDARKRAIN,"Hey I saw you in the tower and thought I would invite you to join our Discord group. We help people with raids and trials and everything else, and we are 100+ members strong. Did you want to join?",1588945944.9936845
B EZ Kev,"Hey I saw you in the tower and thought I would invite you to join our Discord group. We help people with raids and trials and everything else, and we are 100+ members strong. Did you want to join?",1588945944.9936845
Adrennalynn,"Hey I saw you in the tower and thought I would invite you to join our Discord group. We help people with raids and trials and everything else, and we are 100+ members strong. Did you want to join?",1588945944.9936845
juliativas,"Hey I saw you in the tower and thought I would invite you to join our Discord group. We help people with raids and trials and everything else, and we are 100+ members strong. Did you want to join?",1588945944.9936845
ZENtaoist,"Hey I saw you in the tower and thought I would invite you to join our Discord group. We help people with raids and trials and everything else, and we are 100+ members strong. Did you want to join?",1588945944.9936845
